"GEOID","NAME","LSAD","LAND_AREA_M2","WATER_AREA_M2"
"0639290","La Habra","25",19577662,15869
"0673962","Stanton","25",8031388,0
"0653476","Ojai","25",11281691,39811
"0672016","Simi Valley","25",107601139,1831566
"0678582","Thousand Oaks","25",143114080,375961
"0662364","Rocklin","25",51307151,57380
"0603204","Auburn","25",18588528,71271
"0662938","Roseville","25",114162282,0
"0672674","Sonora","25",8190966,35507
"0656938","Piedmont","25",4402397,0
"0644028","Los Banos","25",25891767,320639
"0613294","Chowchilla","25",28713589,119504
"0609864","Calimesa","25",38504167,0
"0610928","Canyon Lake","25",10150943,1917245
"0614260","Coachella","25",77901050,0
"0636434","Indian Wells","25",37085445,679921
"0640354","La Quinta","25",91317864,1101656
"0650874","Nevada City","25",5661517,9642
"0680588","Truckee","43",83740315,3448642
"0658240","Porterville","25",48294868,141831
"0680644","Tulare","25",53439426,197854
"0603162","Atwater","25",17008587,11735
"0646898","Merced","25",60228129,0
"0659500","Rancho Mirage","25",65663784,1008457
"0678120","Temecula","25",96522049,24934
"0618996","Desert Hot Springs","25",78402271,1005240
"0655254","Palm Springs","25",244875470,358065
"0657540","Placerville","25",15126090,2192
"0656784","Petaluma","25",37333943,277684
"0670098","Santa Rosa","25",110145874,451570
"0654274","Orland","25",7740922,0
"0685684","Willows","25",7344419,31054
"0667126","San Joaquin","25",3101203,0
"0640256","La Palma","25",4611657,61544
"0643224","Los Alamitos","25",10382990,161830
"0648256","Mission Viejo","25",45737609,959475
"0659587","Rancho Santa Margarita","25",33483307,122877
"0603302","Avenal","25",50459974,0
"0665084","San Clemente","25",47542789,1940302
"0670686","Seal Beach","25",29184641,1378239
"0682744","Villa Park","25",5380384,237
"0600947","Aliso Viejo","25",17937313,0
"0636000","Huntington Beach","25",69922374,3455837
"0680854","Tustin","25",28808803,0
"0608786","Buena Park","25",27271037,65361
"0617946","Dana Point","25",16804059,683445
"0641152","Lemoore","25",22828779,0
